BenchMark	Total Callsite	Indirect Callsite	Variadic Function	Address Taken	Unique Prototype 	Ration_Func	Ration_uniqType
Firefox	65207	1708	818	19	232	3.53	0.08
Apache 2.4.23	7121	0	94	29	41	2.29	0.71
CPython 3.7.0	4183	0	382	0	38	10.05	0.00
nginx 1.11.5	1085	0	26	0	14	1.86	0.00
OpenSSL 1.1.1	4072	1	23	0	15	1.53	0.00
Wireshark 2.2.1	37717	0	469	1	110	4.26	0.01
FreeBSD							
perlbench	1460	1	60	2	18	3.33	0.11
bzip2	85	0	3	0	3	1.00	0.00
gcc	3615	55	125	0	31	4.03	0.00
mcf	29	0	3	0	3	1.00	0.00
milc	424	0	21	0	8	2.63	0.00
namd	485	0	24	2	8	3.00	0.25
gobmk	2911	0	35	0	8	4.38	0.00
soplex	6	0	2	1	2	1.00	0.50
povray	1042	40	45	10	16	2.81	0.63
hmmer	671	7	9	1	5	1.80	0.20
sjeng	253	0	4	0	3	1.33	0.00
libquantum	74	0	91	0	7	13.00	0.00
h264ref	432	0	85	5	13	6.54	0.38
lbm	11	0	3	0	2	1.50	0.00
omnetpp	340	0	48	23	19	2.53	1.21
astar	42	0	4	1	4	1.00	0.25
sphinx3	731	0	20	0	5	4.00	0.00
xalancbmk	19	0	4	2	4	1.00	0.50
